topic,cntry,year,attitude,dweight
atchctr,BG,2006,2,0
atchctr,BG,2006,3,0
atchctr,BG,2006,4,0
atchctr,BG,2006,5,0
atchctr,BG,2006,6,0
atchctr,BG,2006,7,0
atchctr,BG,2006,8,0
atchctr,BG,2006,9,0
atchctr,BG,2006,10,0
atchctr,BG,2006,NA,1400.0018
atchctr,BG,2008,0,0
atchctr,BG,2008,1,0
atchctr,BG,2008,2,0
atchctr,BG,2008,3,0
atchctr,BG,2008,4,0
atchctr,BG,2008,5,0
atchctr,BG,2008,6,0
atchctr,BG,2008,7,0
atchctr,BG,2008,8,0
atchctr,BG,2008,9,0
atchctr,BG,2008,10,0
atchctr,BG,2008,NA,2230.0005
atchctr,BG,2010,0,0
atchctr,BG,2010,1,0
atchctr,BG,2010,2,0
atchctr,BG,2010,3,0
atchctr,BG,2010,4,0
atchctr,BG,2010,5,0
atchctr,BG,2010,6,0
atchctr,BG,2010,7,0
atchctr,BG,2010,8,0
atchctr,BG,2010,9,0
atchctr,BG,2010,10,0
atchctr,BG,2010,NA,2434
atchctr,BG,2012,0,0
atchctr,BG,2012,1,0
atchctr,BG,2012,2,0
atchctr,BG,2012,3,0
atchctr,BG,2012,4,0
atchctr,BG,2012,5,0
atchctr,BG,2012,6,0
atchctr,BG,2012,7,0
atchctr,BG,2012,8,0
atchctr,BG,2012,9,0
atchctr,BG,2012,10,0
atchctr,BG,2012,NA,2260
atchctr,BG,2014,0,0
atchctr,BG,2014,1,0
atchctr,BG,2014,2,0
atchctr,BG,2014,3,0
atchctr,BG,2014,4,0
atchctr,BG,2014,5,0
atchctr,BG,2014,6,0
atchctr,BG,2014,7,0
atchctr,BG,2014,8,0
atchctr,BG,2014,9,0
atchctr,BG,2014,10,0
atchctr,BG,2014,NA,0
atchctr,BG,2016,0,0
atchctr,BG,2016,1,0
atchctr,BG,2016,2,0
atchctr,BG,2016,3,0
atchctr,BG,2016,4,0
atchctr,BG,2016,5,0
atchctr,BG,2016,6,0
atchctr,BG,2016,7,0
atchctr,BG,2016,8,0
atchctr,BG,2016,9,0
atchctr,BG,2016,10,0
atchctr,BG,2016,NA,0
atchctr,BG,2018,0,10.018607199192052
atchctr,BG,2018,1,11.10891464352608
atchctr,BG,2018,2,31.561151921749115
atchctr,BG,2018,3,69.00921437144282
atchctr,BG,2018,4,63.75762680172922
atchctr,BG,2018,5,206.39169971644876
atchctr,BG,2018,6,159.76827657222742
atchctr,BG,2018,7,305.8838225603102
atchctr,BG,2018,8,328.96926565468306
atchctr,BG,2018,9,310.8448836207389
atchctr,BG,2018,10,648.6691618412732
atchctr,BG,2018,NA,52.017371490597725
atchctr,CH,2002,0,0
atchctr,CH,2002,1,0
atchctr,CH,2002,2,0
atchctr,CH,2002,3,0
atchctr,CH,2002,4,0
atchctr,CH,2002,5,0
atchctr,CH,2002,6,0
atchctr,CH,2002,7,0
atchctr,CH,2002,8,0
atchctr,CH,2002,9,0
atchctr,CH,2002,10,0
atchctr,CH,2002,NA,2039.4736
atchctr,CH,2004,0,0
atchctr,CH,2004,1,0
atchctr,CH,2004,2,0
atchctr,CH,2004,3,0
atchctr,CH,2004,4,0
atchctr,CH,2004,5,0
atchctr,CH,2004,6,0
atchctr,CH,2004,7,0
atchctr,CH,2004,8,0
atchctr,CH,2004,9,0
atchctr,CH,2004,10,0
atchctr,CH,2004,NA,2140.9793
atchctr,CH,2006,0,0
atchctr,CH,2006,1,0
atchctr,CH,2006,2,0
atchctr,CH,2006,3,0
atchctr,CH,2006,4,0
atchctr,CH,2006,5,0
atchctr,CH,2006,6,0
atchctr,CH,2006,7,0
atchctr,CH,2006,8,0
atchctr,CH,2006,9,0
atchctr,CH,2006,10,0
atchctr,CH,2006,NA,1804.0045
atchctr,CH,2008,0,0
atchctr,CH,2008,1,0
atchctr,CH,2008,2,0
atchctr,CH,2008,3,0
atchctr,CH,2008,4,0
atchctr,CH,2008,5,0
atchctr,CH,2008,6,0
atchctr,CH,2008,7,0
atchctr,CH,2008,8,0
atchctr,CH,2008,9,0
atchctr,CH,2008,10,0
atchctr,CH,2008,NA,1819.0134
atchctr,CH,2010,0,0
atchctr,CH,2010,1,0
atchctr,CH,2010,2,0
atchctr,CH,2010,3,0
atchctr,CH,2010,4,0
atchctr,CH,2010,5,0
atchctr,CH,2010,6,0
atchctr,CH,2010,7,0
atchctr,CH,2010,8,0
atchctr,CH,2010,9,0
atchctr,CH,2010,10,0
atchctr,CH,2010,NA,1506
atchctr,CH,2012,0,0
atchctr,CH,2012,1,0
atchctr,CH,2012,2,0
atchctr,CH,2012,3,0
atchctr,CH,2012,4,0
atchctr,CH,2012,5,0
atchctr,CH,2012,6,0
atchctr,CH,2012,7,0
atchctr,CH,2012,8,0
atchctr,CH,2012,9,0
atchctr,CH,2012,10,0
atchctr,CH,2012,NA,1493
atchctr,CH,2014,0,0
atchctr,CH,2014,1,0
atchctr,CH,2014,2,0
atchctr,CH,2014,3,0
atchctr,CH,2014,4,0
atchctr,CH,2014,5,0
atchctr,CH,2014,6,0
atchctr,CH,2014,7,0
atchctr,CH,2014,8,0
atchctr,CH,2014,9,0
atchctr,CH,2014,10,0
atchctr,CH,2014,NA,1532
atchctr,CH,2016,0,9
atchctr,CH,2016,1,3
atchctr,CH,2016,2,18
atchctr,CH,2016,3,29
atchctr,CH,2016,4,25
atchctr,CH,2016,5,80
atchctr,CH,2016,6,108
atchctr,CH,2016,7,228
atchctr,CH,2016,8,401
atchctr,CH,2016,9,288
atchctr,CH,2016,10,333
atchctr,CH,2016,NA,3
atchctr,CH,2018,0,5
atchctr,CH,2018,1,2
atchctr,CH,2018,2,23
atchctr,CH,2018,3,29
atchctr,CH,2018,4,31
atchctr,CH,2018,5,70
atchctr,CH,2018,6,81
atchctr,CH,2018,7,246
atchctr,CH,2018,8,410
atchctr,CH,2018,9,304
atchctr,CH,2018,10,336
atchctr,CH,2018,NA,5
atchctr,CY,2002,0,0
atchctr,CY,2002,1,0
atchctr,CY,2002,2,0
atchctr,CY,2002,3,0
atchctr,CY,2002,4,0
atchctr,CY,2002,5,0
atchctr,CY,2002,6,0
atchctr,CY,2002,7,0
atchctr,CY,2002,8,0
atchctr,CY,2002,9,0
atchctr,CY,2002,10,0
atchctr,CY,2002,NA,0
atchctr,CY,2004,0,0
atchctr,CY,2004,1,0
atchctr,CY,2004,2,0
atchctr,CY,2004,3,0
atchctr,CY,2004,4,0
atchctr,CY,2004,5,0
atchctr,CY,2004,6,0
atchctr,CY,2004,7,0
atchctr,CY,2004,8,0
atchctr,CY,2004,9,0
atchctr,CY,2004,10,0
atchctr,CY,2004,NA,0
atchctr,CY,2006,0,0
atchctr,CY,2006,1,0
atchctr,CY,2006,2,0
atchctr,CY,2006,3,0
atchctr,CY,2006,4,0
atchctr,CY,2006,5,0
atchctr,CY,2006,6,0
atchctr,CY,2006,7,0
atchctr,CY,2006,8,0
atchctr,CY,2006,9,0
atchctr,CY,2006,10,0
atchctr,CY,2006,NA,994.9983
atchctr,CY,2008,0,0
atchctr,CY,2008,1,0
atchctr,CY,2008,2,0
atchctr,CY,2008,3,0
atchctr,CY,2008,4,0
atchctr,CY,2008,5,0
atchctr,CY,2008,6,0
atchctr,CY,2008,7,0
atchctr,CY,2008,8,0
atchctr,CY,2008,9,0
atchctr,CY,2008,10,0
atchctr,CY,2008,NA,1214.9821
atchctr,CY,2010,0,0
atchctr,CY,2010,1,0
atchctr,CY,2010,2,0
atchctr,CY,2010,3,0
atchctr,CY,2010,4,0
atchctr,CY,2010,5,0
atchctr,CY,2010,6,0
atchctr,CY,2010,7,0
atchctr,CY,2010,8,0
atchctr,CY,2010,9,0
atchctr,CY,2010,10,0
atchctr,CY,2010,NA,1082.2853000000005
atchctr,CY,2012,0,0
atchctr,CY,2012,1,0
atchctr,CY,2012,2,0
atchctr,CY,2012,3,0
atchctr,CY,2012,4,0
atchctr,CY,2012,5,0
atchctr,CY,2012,6,0
atchctr,CY,2012,7,0
atchctr,CY,2012,8,0
atchctr,CY,2012,9,0
atchctr,CY,2012,10,0
atchctr,CY,2012,NA,1116
atchctr,CY,2014,0,0
atchctr,CY,2014,1,0
atchctr,CY,2014,2,0
atchctr,CY,2014,3,0
atchctr,CY,2014,4,0
atchctr,CY,2014,5,0
atchctr,CY,2014,6,0
atchctr,CY,2014,7,0
atchctr,CY,2014,8,0
atchctr,CY,2014,9,0
atchctr,CY,2014,10,0
atchctr,CY,2014,NA,0
atchctr,CY,2016,0,0
atchctr,CY,2016,1,0
atchctr,CY,2016,2,0
atchctr,CY,2016,3,0
atchctr,CY,2016,4,0
atchctr,CY,2016,5,0
atchctr,CY,2016,6,0
atchctr,CY,2016,7,0
atchctr,CY,2016,8,0
atchctr,CY,2016,9,0
atchctr,CY,2016,10,0
atchctr,CY,2016,NA,0
atchctr,CY,2018,0,4.734555363655093
atchctr,CY,2018,1,2.575325310230252
atchctr,CY,2018,2,4.2947523593902615
atchctr,CY,2018,3,11.6154018342495
atchctr,CY,2018,4,15.912294656038295
